Jenis Anjing,Height,Weight,Life Expectancy,Characteristic,Trainability,What to execpect when caring for one
English Setter,"25-27 inches (male)
23-25 inches (female)
","65-80 pounds (male)
45-55 pounds (female)",12 years,"Friendly, Tolerant, Gentle","Easy Training if use Positive Reinforcement and Train early, consistently","- Regular Exercise Needed
- Avoid strenuous or high-impact activities until the dog’s bones and joints mature at around two years of age.
- Despite high energy outdoors, English Setters typically become quiet and calm indoors after exercise."
American Bulldog,"22-25 inches (males)
20-23 inches (females)","75-100 pounds (males)
60-80 pounds (females)",10-12 years,"Confident, Assertive, Affectionate, Loyal, Playful, Protective, Intelligent",Intelligent and eager to please but can be stubborn. Requires consistent training and early socialization.,"- Needs 1.5 to 2 hours of daily exercise
- Minimal grooming; brush weekly
- Prone to hip dysplasia and skin conditions
- Requires a well-balanced diet and regular vet check-ups"
American Pit Bull Terrier,"18-21 inches (males)​
17-20 inches (females)","35-60 pounds (males)​
30-50 pounds (females)",12 - 17 years,"Confident, enthusiastic, friendly, intelligent, strong-willed","Highly trainable; requires consistent, positive reinforcement and early socialization","Exercise Needs: Requires regular exercise to maintain physical and mental health​
Grooming: Minimal grooming due to short coat​
Health Considerations: Prone to hip dysplasia and skin conditions; regular veterinary check-ups recommended​
Diet and Nutrition: Balanced diet essential; consult a veterinarian for specific dietary need"
Basset Hound,up to 15 inches,40-65 pounds,12 -13 years,"Charming, low-key, and sometimes stubborn",Agreeable; may require patience due to occasional stubbornness​,"Exercise Needs: Regular exercise to prevent obesity and maintain health​
Grooming: Minimal grooming; regular ear cleaning is essential due to their long ears​
Health Considerations: Prone to certain health issues; regular veterinary check-ups are important​
Diet and Nutrition: Balanced diet to prevent obesity; monitor food intake carefully"
Beagle,"14 - 16 inches (Males)
13 - 15 inches (Females)","18-25 lbs  (Males)
20-23 lbs (Females)",10 - 15 years,"Friendly, curious, and merry​",Intelligent and eager to please; responds well to positive reinforcement,"Exercise Needs: Requires regular exercise to maintain health and prevent obesity​
Grooming: Minimal grooming due to short coat; regular ear cleaning is important​
Health Considerations: Prone to certain health issues; regular veterinary check-ups are important​
Diet and Nutrition: Balanced diet essential; monitor food intake to prevent overeating"
Boxer,"22.5–25 inches (males)​
21–23.5 inches (females)","65–80 pounds (males)​
50–65 pounds (females)",10 - 12 years,"Bright, energetic, playful, loyal, affectionate​",Intelligent and eager to please; responds well to positive reinforcement; early socialization and consistent training are important,"Exercise Needs: Requires regular exercise to maintain physical and mental health​
Grooming: Minimal grooming due to short coat; regular brushing helps maintain coat health​
Health Considerations: Prone to certain health issues; regular veterinary check-ups are important​
Diet and Nutrition: Balanced diet essential; monitor food intake to prevent overeating"
Chihuahua,"6–9 inches 
(both males and females)","Not to exceed 6 pounds 
(both males and females)​",14 - 16 years,"Loyal, charming, and big-dog attitude​",Intelligent and eager to please; responds well to positive reinforcement; early socialization and consistent training are important,"Exercise Needs: Requires regular exercise to maintain physical and mental health​
Grooming: Minimal grooming due to short coat; regular brushing helps maintain coat health​
Health Considerations: Prone to certain health issues; regular veterinary check-ups are important​
Diet and Nutrition: Balanced diet essential; monitor food intake to prevent overeating"
English Cocker Spaniel,"16–17 inches (males)​
15–16 inches (females)","28–34 pounds (males)​
26–32 pounds (females)​",12–14 years​,"Energetic, merry, and affectionate​",Intelligent and eager to please; responds well to positive reinforcement; early socialization and consistent training are important,"Exercise Needs: Requires regular exercise to maintain physical and mental health​
Grooming: Regular grooming to maintain coat health​
Health Considerations: Prone to certain health issues; regular veterinary check-ups are important​
Diet and Nutrition: Balanced diet essential; monitor food intake to prevent overeating"
German Shorthaired Pointer,"23-25 inches (male)
21-23 inches (female)","55-70 pounds (male)
45-60 pounds (female)",10 - 12 years,"Versatile, enthusiastic, and energetic gundog; thrives on vigorous exercise and positive training; known as the ""perfect pointer.""",Intelligent and eager to please; responds well to positive reinforcement and consistent training.,"Exercise Needs: Requires regular, vigorous exercise to maintain physical and mental health.​
Grooming: Minimal grooming due to short coat; regular brushing helps maintain coat health.​
Health Considerations: Regular veterinary check-ups are important to monitor for potential health issues.​
Diet and Nutrition: Balanced diet essential; monitor food intake to prevent overeating."
